#bytes,#repetitions,t[usec],Mbytes/sec
128,1000,1.73,74.00
256,1000,1.99,128.50
512,1000,2.08,246.56
1024,1000,2.27,450.75
2048,1000,2.98,687.94
4096,1000,3.97,1031.25
8192,1000,5.51,1486.10
16384,1000,7.33,2235.43
32768,1000,10.05,3260.85
65536,640,14.53,4510.86
131072,320,23.56,5562.70
262144,160,33.89,7736.14
524288,80,55.51,9445.64
1048576,40,98.80,10612.80
2097152,20,184.43,11371.09
4194304,10,355.10,11811.58
8388608,5,698.15,12015.56
16777216,2,1384.27,12119.93
33554432,1,2763.89,12140.31
67108864,1,5511.50,12176.16
